No,Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
103,3401,Daerah Istimewa Yogyakarta,Kulon Progo,338079,127145,136881,264026,74053,21.90405201,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9736,-3.687515623
104,3402,Daerah Istimewa Yogyakarta,Bantul,732124,271535,313383,584918,147206,20.10670324,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-41848,-7.154507127
105,3403,Daerah Istimewa Yogyakarta,Gunungkidul,601556,176801,280110,456911,144645,24.04514293,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-103309,-22.61031142
106,3404,Daerah Istimewa Yogyakarta,Sleman,818960,303420,355975,659395,159565,19.48385758,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-52555,-7.970184791
107,3471,Daerah Istimewa Yogyakarta,Kota Yogyakarta,321425,98441,147900,246341,75084,23.35972622,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-49459,-20.07745361
109,3501,Jawa Timur,Pacitan,465256,205365,112332,317697,147559,31.71565762,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,93033,29.28356264
110,3502,Jawa Timur,Ponorogo,775505,250385,280689,531074,244431,31.51894572,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-30304,-5.706172774
111,3503,Jawa Timur,Trenggalek,568442,140980,267772,408752,159690,28.09257585,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-126792,-31.01929776
112,3504,Jawa Timur,Tulungagung,855720,210972,401482,612454,243266,28.42822419,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-190510,-31.10600959
113,3505,Jawa Timur,Blitar,923611,194251,488724,682975,240636,26.05382569,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-294473,-43.11621948
114,3506,Jawa Timur,Kediri,1187497,294429,619456,913885,273612,23.04106874,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-325027,-35.56541578
115,3507,Jawa Timur,Malang,2011574,549623,865641,1415264,596310,29.64395046,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-316018,-22.32926154
116,3508,Jawa Timur,Lumajang,843478,256576,319840,576416,267062,31.66199948,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-63264,-10.97540665
117,3509,Jawa Timur,Jember,1789197,507428,694751,1202179,587018,32.80901991,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-187323,-15.58195577
118,3510,Jawa Timur,Banyuwangi,1276580,361727,539652,901379,375201,29.39110749,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-177925,-19.7391996
119,3511,Jawa Timur,Bondowoso,601588,270778,175467,446245,155343,25.82215736,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,95311,21.35844659
120,3512,Jawa Timur,Situbondo,526067,220034,153018,373052,153015,29.08659924,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,67016,17.96425163
121,3513,Jawa Timur,Probolinggo,858821,280103,289694,569797,289024,33.65357857,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9591,-1.683231045
122,3514,Jawa Timur,Pasuruan,1188962,474725,344930,819655,369307,31.06129548,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,129795,15.83532096
123,3515,Jawa Timur,Sidoarjo,1424040,464893,550726,1015619,408421,28.68044437,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-85833,-8.451299158
